Type of the device,Model,Date introduced,Storage capacity,Total product footprint (CO2e),PRODUCTION life cycle carbon emissions ,TRANSPORTATION life cycle carbon emissions ,USE life cycle carbon emissions ,END-OF-LIFE PROCESSING life cycle carbon emissions ,% of recycled or renewable contents (not including packaging or in-box accesories)  ,% of clean energy in manufacturing ,% of recycled rare earth elements ,% of recycled content in the fiber packaging,Labour protection ,Measures for longevity,Harmful resources usage,Ability for a client to freely and securely  recycle the device,Source of data,,Questions section,
,,,,,,,,,,,,,,,,,,,,
iPhone,iPhone 14, ,128GB,61 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,Iphone 14_PER,,,
iPhone,iPhone 14,07.09.2022,256GB,67 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,https://www.apple.com/environment/pdf/products/iphone/iPhone_14_and_iPhone_14_Plus_PER_Sept2022.pdf,,,
iPhone,iPhone 14,07.09.2022,512GB,83 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,https://www.apple.com/environment/pdf/products/iphone/iPhone_14_and_iPhone_14_Plus_PER_Sept2022.pdf,,,
iPhone,iPhone 14 Plus,07.09.2022,128GB,68 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,https://www.apple.com/environment/pdf/products/iphone/iPhone_14_and_iPhone_14_Plus_PER_Sept2022.pdf,,,
iPhone,iPhone 14 Plus,07.09.2022,256GB,75 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,https://www.apple.com/environment/pdf/products/iphone/iPhone_14_and_iPhone_14_Plus_PER_Sept2022.pdf,,,
iPhone,iPhone 14 Plus,07.09.2022,512GB,91 kg,,,,,N/A,25%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)",Apple Trade In,https://www.apple.com/environment/pdf/products/iphone/iPhone_14_and_iPhone_14_Plus_PER_Sept2022.pdf,,,
iPhone,iPhone 14 Pro,07.09.2022,128GB,65 kg,81%,3%,15%,<1%,,N/A,100%,74%,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance",• Arsenic-free display glass • Mercury-free • Brominated flame retardant–free • PVC-free • Beryllium-free,Apple Trade In,,,,
iPhone,iPhone 14 Pro,07.09.2022,256GB,71 kg,81%,3%,15%,<1%,,N/A,100%,74%,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance",,Apple Trade In,,,,
iPhone,iPhone 14 Pro,07.09.2022,512GB,84 kg,81%,3%,15%,<1%,,N/A,100%,74%,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance",,Apple Trade In,,,,
